# YYYYMMDD, RMM1, RMM2, Phase, Amplitude,RMM1_filt,RMM2_filt,Phase_filt,Amplitude_filt
19800810,-0.834219322,-0.437402856,1,0.941935844,-0.6044719891916667,-0.5226906897083333,1.0,0.799119479
19800811,-1.062365212,-0.23632721,1,1.088333769,-0.8227783413333334,-0.33167906808333336,1.0,0.887116228
19800812,-1.154043137,-0.180850659,1,1.168127785,-0.898192547275,-0.28489530679999997,1.0,0.942292517
19800813,-0.672400899,-0.204468985,1,0.702801917,-0.39877213494166663,-0.31660059515833333,1.0,0.509171045
19800814,-0.366930835,-0.262099192,1,0.450925963,-0.07652249835833336,-0.37833215256666664,2.0,0.385993407
19800815,-0.328274976,-0.106069457,1,0.344985782,-0.02167388902499995,-0.22246523150833336,2.0,0.223518538
19800816,-0.144908852,-0.14550192,2,0.205351855,0.17544128715000004,-0.2578227618833333,3.0,0.311852885
19800817,0.132334926,-0.489866585,3,0.507426649,0.4612660986916667,-0.5905708339833333,3.0,0.749359943
19800818,0.21244724,-0.836390183,3,0.862949806,0.5461353326166667,-0.9183926993583333,3.0,1.068507816
19800819,0.134433756,-0.966296315,3,0.975602892,0.472729184375,-1.026431434275,3.0,1.130059454
19800820,0.425393191,-1.026813425,3,1.111442836,0.7650600807333333,-1.0645983692166667,3.0,1.310986886
19800821,1.067736868,-0.871443466,4,1.378214691,1.4016608168499998,-0.8898492169416666,4.0,1.660266447
19800822,1.798692406,-0.435486474,4,1.85066011,2.11910232015,-0.43916238375833333,4.0,2.164129905
19800823,2.155458981,0.095555497,5,2.157576017,2.4559689513916667,0.10078247314166668,5.0,2.458035922
19800824,1.912402803,0.612476068,5,2.008086506,2.1920627493916665,0.6221924399833333,5.0,2.278653666
19800825,1.583441179,0.872342399,5,1.807834956,1.84371155765,0.8826161171666667,5.0,2.044085007
19800826,1.518189377,0.646604618,5,1.650150453,1.7583039724416665,0.6569889935083334,5.0,1.877036866
19800827,1.317371619,0.650628537,5,1.469280598,1.5383881329083333,0.658773464725,5.0,1.67350546
19800828,1.377101415,0.708802967,5,1.548809205,1.57755205535,0.7115464911,5.0,1.730597843
19800829,1.101957185,0.538221974,5,1.226373732,1.2836537985416667,0.5354779130583334,5.0,1.390864361
