,nino3,nino4,nino34,nino12,indocW,indocE
1982-08-25,24.674027388231828,29.28694496214426,27.928220373917423,21.914604479545233,27.365672341726075,27.077075365170483
1982-08-26,24.75021258187377,29.27569353314535,27.924129427046534,21.954953211050054,27.494836068274843,26.90394840652657
1982-08-27,24.769563701652398,29.287818292190718,27.939853475090775,21.957937608373232,27.590555436572842,26.774692019368967
1982-08-28,24.724827180916993,29.31933561864758,27.970432443200615,21.916333964066684,27.620111127655274,26.729600072980535
1982-08-29,24.66678881162843,29.352030033417602,28.004942270586834,21.852495035921315,27.60861070056353,26.745219263143806
1982-08-30,24.646122019457565,29.367579254309643,28.032523730470032,21.78862642636033,27.58103582852139,26.798076016547803
1982-08-31,24.713576194682254,29.3477429113967,28.042298828090214,21.746993204517867,27.562489489151478,26.86470951237813
1982-09-01,24.829624319818294,29.289879200473266,28.010895713433715,21.723173237467215,27.5456283086167,26.916883381854564
1982-09-02,24.931553979012858,29.21610573716737,27.94513010207321,21.70510140158092,27.518010730555822,26.9541933085466
1982-09-03,25.034998734086187,29.1463785999109,27.87967477230884,21.703686451793292,27.496135106790653,26.994668208570275
1982-09-04,25.155541181025658,29.10065479954678,27.849200562649045,21.729833421263184,27.496511287285802,27.056426102019596
1982-09-05,25.30881404056337,29.0988998001925,27.88832615266439,21.794493166494053,27.53566343333735,27.157538587819367
1982-09-06,25.434403176319645,29.14272406014494,27.9806063485015,21.867805694621328,27.614208992706207,27.248437299184218
1982-09-07,25.48297162742226,29.212809808191526,28.082793498135388,21.921870537615863,27.70924261514574,27.286445174550863
1982-09-08,25.48653729980039,29.29869921420778,28.18984248704457,21.97028411435214,27.801093883248956,27.300383250878994
1982-09-09,25.47708464677433,29.389967386547752,28.296637003881557,22.02667700331191,27.870105727147333,27.31906050849735
1982-09-10,25.486454675241948,29.47616054349131,28.398117040511842,22.10477500733914,27.896618339169986,27.371205753468978
1982-09-11,25.510084333893012,29.520801766547073,28.443208961523055,22.180371099539567,27.870033182392117,27.459533787449136
1982-09-12,25.520536935106243,29.511977523196943,28.412689862078505,22.223394052361982,27.807773683555915,27.546394130378243
1982-09-13,25.515439846017163,29.477027030561725,28.349545309784094,22.238906772991687,27.731623465608003,27.599412040770964
1982-09-14,25.492522359541994,29.443310785988587,28.29673839517895,22.23180336685226,27.663582338383744,27.586213614778952
1982-09-15,25.449419420923103,29.438136812386556,28.297199994212274,22.20719265812132,27.62547332719378,27.474486385333556
1982-09-16,25.387113738510138,29.47358889403712,28.350447350639143,22.13429796480877,27.630150493075856,27.308625777398245
1982-09-17,25.31987745048854,29.527094448145117,28.41806463113894,22.017277127166196,27.67054174312901,27.151454916316762
1982-09-18,25.265236531587785,29.575133010417744,28.48628928046854,21.91402026174673,27.739029343707017,26.997593055319562
